10016848	43	1	1	1	0	0	0	24	24	24	36	35	28	6	5	5	6	5	4	1	.	0	0	0	0
10017933	60	1	0	0	0	0	0	18	21	21	19	15	14	6	4	6	5	6	6	0	.	0	0	0	0
10023526	49	1	1	1	0	0	0	20	17	21	22	20	24	5	5	5	5	5	6	0	.	1	0	0	0
10040331	49	1	0	0	0	0	0	23	21	18	20	12	12	6	7	7	7	7	7	1	.	0	0	0	0
10042571	70	0	0	0	0	0	1	18	18	18	19	18	19	6	6	6	5	6	5	0	.	0	0	0	0
10058257	46	0	0	0	0	0	0	26	32	28	27	23	25	4	5	6	6	6	6	0	.	0	0	0	0
10060111	40	0	0	0	0	0	0	18	20	15	23	16	17	5	5	6	5	6	5	0	.	0	0	0	0
10061649	40	0	0	0	0	0	0	25	44	39	37	12	18	5	4	4	5	7	6	0	6	0	0	0	0
10062386	59	0	0	0	0	0	0	34	32	27	26	36	33	1	3	3	4	2	4	0	.	0	0	0	0
10063102	47	1	0	0	0	0	0	20	27	24	21	20	24	6	5	5	6	5	5	0	.	0	1	0	0
10067248	48	1	0	0	0	0	0	30	25	24	23	30	30	5	4	4	5	4	5	0	.	0	0	0	0
10071687	41	0	0	0	0	0	0	24	22	18	20	22	25	4	6	5	5	3	4	0	.	0	1	0	0
10071717	40	1	0	0	0	0	0	25	19	22	30	20	31	4	5	5	4	5	3	0	.	0	0	0	0
10078401	72	0	0	0	0	0	1	18	18	15	17	19	17	6	7	6	7	7	7	0	.	0	0	0	0
10080643	54	1	1	1	0	0	0	19	20	18	17	17	19	5	5	5	6	6	5	0	.	0	0	0	0
10081798	83	1	0	0	0	0	1	18	20	21	20	19	19	7	7	7	7	7	7	0	.	0	0	0	0
10087486	26	0	0	0	0	0	0	29	32	28	30	18	20	3	3	5	4	5	5	1	.	0	0	0	0
10099689	47	0	0	0	0	0	0	20	22	19	20	19	20	7	7	7	7	6	7	0	.	0	0	0	0
10099719	43	1	0	0	0	0	0	17	19	15	18	19	19	6	5	6	6	6	6	0	.	0	0	0	0
10099778	19	1	0	0	0	0	0	22	21	20	15	18	18	6	6	6	7	6	7	0	.	0	0	0	0
10101942	71	1	0	0	1	1	1	31	28	25	24	24	24	5	5	5	5	5	4	1	3	0	0	2	0
10101977	44	1	0	0	0	0	0	22	20	22	22	25	27	6	7	6	6	5	4	0	.	0	0	0	0
10110879	60	1	1	1	0	0	0	24	24	28	25	26	29	5	6	3	4	5	5	0	.	0	0	0	0
10110909	56	0	0	0	1	0	0	24	25	23	20	24	23	3	2	2	5	3	3	1	1	1	1	1	1
10110933	27	1	0	0	0	0	0	26	24	24	13	35	22	5	4	4	5	4	5	0	.	0	0	1	0
10110968	20	1	0	0	1	1	0	21	16	23	16	15	25	7	7	5	5	4	5	0	8	0	4	4	4
10111999	60	1	0	0	1	1	0	25	26	19	17	15	19	6	7	7	7	7	7	0	.	1	0	0	0
10112081	22	0	0	0	0	0	0	25	25	21	19	16	22	6	4	4	5	6	6	0	.	0	0	0	0
10116508	33	0	0	0	0	0	0	36	35	16	25	19	22	5	5	5	5	5	5	1	2	0	0	1	0
10127666	56	1	0	0	0	0	0	22	27	24	30	28	22	4	4	4	4	4	5	0	.	0	1	0	0
